Nck2
Ankzf1
Dnajb2
Rhbdd1
Bcl2
Ubxn4
Yod1
Ppp1r15b
Fam129a
Edem3
Atf6
Ufc1
Atf3
Man1b1
Tor1a
Hspa5
Dab2ip
Nfe2l2
Dnajc10
Psmc3
Creb3l1
Thbs1
Eif2ak4
Chac1
Pdia3
Bcl2l11
Ddrgk1
Tmx4
Trib3
H13
Edem2
Cebpb
Ptpn1
Vapb
Srpx
Aifm1
Ubqln2
Mbtps2
Usp13
Ufm1
Serp1
Creb3l4
Tmem67
Ufl1
Ube2j1
Vcp
Creb3
Sec61b
Erp44
AI314180
Jun
Casp9
Fbxo6
Fbxo2
Ube4b
Ube2j2
Psmc2
Tmub1
Tmem129
Wfs1
Ube2k
Tbl2
Get4
Bhlha15
Creb3l2
Pdia4
Eif2ak3
Rnf103
Aup1
Itpr1
Edem1
Bbc3
Psmc4
Bax
Ppp1r15a
Vimp
Rnf121
Anks4b
Ern2
Atp2a1
Brsk2
Ins2
Ccnd1
Map3k5
Nrbf2
Derl3
Ube2g2
Tmem259
Creb3l3
Hsp90b1
Apaf1
Ifng
Os9
Ddit3
Erlin2
Ppp2cb
Ubxn8
Casp3
Pik3r2
Amfr
Herpud1
Aars
Selk
Ero1l
Psmc6
Trim13
Dnajc3
Casp4
Casp12
Scamp5
Pml
Parp16
Nck1
Uba5
Usp19
Stt3b
Rnf185
Xbp1
Erlec1
Stc2
Trp53
Alox15
Derl2
Trim25
Cdk5rap3
Ccdc47
Psmc5
Ern1
Nploc4
P4hb
Txndc5
Faf2
Ubqln1
Atg10
Thbs4
Col4a3bp
Pik3r1
Pdia6
Dnajb9
Tmx1
Jkamp
Sel1l
Psmc1
Atxn3
Derl1
Rnf139
Foxred2
Pla2g6
Atf4
Ep300
Tmbim6
Txndc11
Sdf2l1
Ufd1l
Eif2b5
Nrros
Pdia5
Gsk3b
Park2
Stub1
Pdia2
Crebrf
Bak1
Rnf5
Atf6b
Bag6
Flot1
Eif2ak2
Pmaip1
Tmx3
Syvn1
Erlin1
