Atad2 
Blm 
Brip1 
Casp8ap2 
Ccne2 
Cdc45 
Cdc6 
Cdca7 
Chaf1b 
Clspn 
Dscc1 
Dtl 
E2f8 
Exo1 
Fen1 
Gins2 
Gmnn 
Hells 
Mcm2 
Mcm4 
Mcm5 
Mcm6 
Msh2 
Nasp 
Pcna 
Pcna-ps2 
Pola1 
Pold3 
Prim1 
Rad51ap1 
Rfc2 
Rpa2 
Rrm1 
Rrm2 
Slbp 
Tipin 
Tyms 
Ubr7 
Uhrf1 
Ung 
Usp1 
Wdr76
